title,car_number,price,new_car_price,licensing_time,miles,license_location,battery_volume,battery_power_data,battery_torque_data,endurance_miles,make,type,record_date
江铃集团新能源 江铃E100 2016款 标准型  ,HC-60329628,?1.50 ,新车指导价16.90万(含税),2016-06,9.8万公里,无锡,15,20.0,110,152,江铃集团新能源,微型车,2018-11-28
特斯拉MODEL S 2014款 MODEL S P85  ,HC-38224080,?47.50 ,新车指导价92.50万(含税),2015-01,6.81万公里,北京,85,310.0,600,502,特斯拉,中大型车,2018-11-28
知豆 2014款 标准型  ,HC-54646764,?1.44 ,新车指导价11.80万(含税),2014-08,3.74万公里,厦门,-,9.0,82,120,知豆电动车,微型车,2018-11-28
长安欧尚 奔奔mini-e 2017款 标准型   ,HC-59633477,?2.58 ,新车指导价9.00万(含税),2017-12,1.78万公里,重庆,17.3,30.0,150,151,长安汽车,微型车,2018-11-28
特斯拉MODEL S 2014款 MODEL S 85  ,HC-62555857,?45.00 ,新车指导价79.70万(含税),2015-10,6.53万公里,上海,85,270.0,440,502,特斯拉,中大型车,2018-11-28
特斯拉MODEL S 2017款 改款 Model S 100D   ,HC-62567901,?88.00 ,新车指导价116.00万(含税),2017-09,2.16万公里,深圳,100,386.0,660,579,特斯拉,中大型车,2018-11-28
特斯拉MODEL S 2016款 MODEL S 60  ,HC-57648401,?55.00 ,新车指导价76.90万(含税),2017-06,4.01万公里,上海,60,284.8,440,400,特斯拉,中大型车,2018-11-28
腾势 2014款 时尚版  ,HC-61304036,?12.00 ,新车指导价40.10万(含税),2015-12,3.55万公里,上海,47.5,86.0,290,253,腾势汽车,中型车,2018-11-28
知豆D2 2015款 D2   ,HC-59366344,?2.00 ,新车指导价17.20万(含税),2015-12,1.84万公里,杭州,-,9.0,85,180,知豆电动车,微型车,2018-11-28
知豆 2014款 标准型 ,HC-59134991,?1.90 ,新车指导价11.80万(含税),2015-11,3.85万公里,太原,-,9.0,82,120,知豆电动车,微型车,2018-11-28
东风风神E30 2015款 E30L  ,HC-58422106,?2.60 ,新车指导价21.70万(含税),2015-12,3.72万公里,武汉,20.5,17.0,64,150,东风乘用车,微型车,2018-11-28
御捷E驰 2017款 标准型  ,HC-59464623,?2.60 ,新车指导价16.60万(含税),2016-12,2.2万公里,天津,22.3,15.0,110,155,御捷新能源,微型车,2018-11-28
知豆 2014款 标准型 ,HC-60615461,?1.70 ,新车指导价11.80万(含税),2015-03,3.05万公里,湖州,-,9.0,82,120,知豆电动车,微型车,2018-11-28
江淮iEV 2015款 iEV4 豪华型  ,HC-58692835,?3.60 ,新车指导价16.60万(含税),2016-03,1.65万公里,呼和浩特,19.2,42.0,170,152,江淮汽车,小型车,2018-11-28
北汽新能源 EC系列 2017款 EC200 灵动版    ,HC-56552341,?4.00 ,新车指导价17.20万(含税),2017-12,0.28万公里,上海,-,36.0,140,162,北汽新能源,微型车,2018-11-28
众泰 芝麻 2017款 标准型   ,HC-39309120,?3.30 ,新车指导价13.00万(含税),2017-12,0.55万公里,杭州,16,30.0,150,150,众泰汽车,微型车,2018-11-28
江铃集团新能源 江铃E200 2016款 标准型   ,HC-59233899,?2.38 ,新车指导价19.50万(含税),2016-12,2.51万公里,南京,17.3,30.0,130,152,江铃集团新能源,微型车,2018-11-28
康迪 2016款 K17A 时尚型  ,HC-59362045,?3.60 ,新车指导价17.90万(含税),2017-12,1.38万公里,天津,20,35.0,165,151,康迪电动汽车集团,小型车,2018-11-28
长安 逸动 2016款 纯电动尊享型    ,HC-58964347,?6.10 ,新车指导价26.40万(含税),2017-08,1.09万公里,北京,30,90.0,280,200,长安汽车,紧凑型车,2018-11-28
江铃集团新能源 江淮iEV6E 2017款 iEV6E   ,HC-58593148,?5.50 ,新车指导价13.90万(含税),2018-02,0.01万公里,邯郸,22,45.0,175,170,江淮汽车,微型车,2018-11-28
江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版   ,HC-55242449,?4.23 ,新车指导价12.90万(含税),2018-04,0.49万公里,新乡,19.66,60.0,200,156,江淮汽车,微型车,2018-11-28
比亚迪e6 2014款 精英版   ,HC-62079240,?10.50 ,新车指导价35.80万(含税),2015-06,3.14万公里,北京,57,90.0,450,300,比亚迪,MPV,2018-11-28
北汽新能源 EC系列 2017款 EC180 灵动版    ,HC-56827864,?4.75 ,新车指导价16.50万(含税),2018-03,0.23万公里,徐州,20.3,30.0,140,156,北汽新能源,微型车,2018-11-28
江淮iEV 2014款 iEV4  ,HC-58301739,?3.00 ,新车指导价18.40万(含税),2015-12,2.53万公里,广州,19.2,42.0,170,152,江淮汽车,小型车,2018-11-28
北汽新能源 EU系列 2017款 EU260 乐途plus版    ,HC-57820589,?7.00 ,新车指导价22.30万(含税),2017-12,0.27万公里,南昌,41.4,100.0,260,260,北汽新能源,紧凑型车,2018-11-28
北汽新能源 EC系列 2017款 EC200 灵动版    ,HC-57946022,?4.27 ,新车指导价17.20万(含税),2017-12,0.84万公里,武汉,-,36.0,140,162,北汽新能源,微型车,2018-11-28
江淮iEV 2015款 iEV4 豪华型  ,HC-59649754,?3.20 ,新车指导价16.60万(含税),2015-11,4.58万公里,北京,19.2,42.0,170,152,江淮汽车,小型车,2018-11-28
众泰 2014款 云100 舒适型   ,HC-58635104,?1.89 ,新车指导价17.20万(含税),2015-12,5.94万公里,长沙,18,18.0,120,155,众泰汽车,微型车,2018-11-28
知豆D2 2015款 D2 ,HC-57541812,?2.80 ,新车指导价17.20万(含税),2015-12,0.79万公里,杭州,-,9.0,85,180,知豆电动车,微型车,2018-11-28
御捷E行 2018款 标准型   ,HC-62237095,?3.90 ,新车指导价14.80万(含税),2017-11,0.99万公里,滨州,22,36.0,230,153,御捷新能源,微型车,2018-11-28
众泰E200 2017款 豪华型   ,HC-38610754,?4.50 ,新车指导价19.50万(含税),2017-12,0.2万公里,太原,24.52,60.0,180,160,众泰汽车,微型车,2018-11-28
海马@3 2017款 纯电动 舒适型  ,HC-58337888,?4.80 ,新车指导价16.30万(含税),2016-12,0.09万公里,惠州,26.7,70.0,240,202,海马汽车,紧凑型车,2018-11-28
比亚迪e6 2016款 400 精英版  ,HC-61649962,?15.00 ,新车指导价35.80万(含税),2016-11,0.65万公里,北京,82,90.0,450,400,比亚迪,MPV,2018-11-28
比亚迪 2017款 秦EV300 旗舰型   ,HC-59467036,?13.70 ,新车指导价27.80万(含税),2018-06,0.02万公里,北京,47.5,160.0,310,300,比亚迪,紧凑型车,2018-11-28
众泰E200 2017款 舒适型   ,HC-57688636,?4.40 ,新车指导价20.00万(含税),2017-12,0.43万公里,金华,24.52,60.0,180,160,众泰汽车,微型车,2018-11-28
长安 逸动 2018款 EV300 尊享型   ,HC-55330395,?9.90 ,新车指导价21.70万(含税),2018-07,1.48万公里,重庆,45,90.0,280,300,长安汽车,紧凑型车,2018-11-28
江铃集团新能源 江铃E100 2016款 标准型  ,HC-61241757,?1.50 ,新车指导价16.90万(含税),2015-08,1.75万公里,南昌,15,20.0,110,152,江铃集团新能源,微型车,2018-11-28
比亚迪e6 2016款 400 精英版  ,HC-34968783,?15.00 ,新车指导价35.80万(含税),2016-03,4.49万公里,北京,82,90.0,450,400,比亚迪,MPV,2018-11-28
众泰 2014款 云100 舒适型  ,HC-57679934,?2.25 ,新车指导价17.20万(含税),2015-11,1.41万公里,深圳,18,18.0,120,155,众泰汽车,微型车,2018-11-28
知豆D2 2017款 D2S   ,HC-58201750,?3.30 ,新车指导价20.50万(含税),2017-04,1.06万公里,郑州,18,15.0,90,155,知豆电动车,微型车,2018-11-28
长安 奔奔 2017款 纯电动 180公里标准型    ,HC-59250537,?3.90 ,新车指导价16.80万(含税),2017-04,2.55万公里,北京,23.2,55.0,170,180,长安汽车,微型车,2018-11-28
云度π1 2017款 城市乐派型    ,HC-54926142,?6.70 ,新车指导价13.90万(含税),2017-12,0.02万公里,台州,24,55.0,170,150,云度新能源,小型SUV,2018-11-28
长安 奔奔 2017款 纯电动 210公里时尚型  ,HC-38519101,?4.90 ,新车指导价18.10万(含税),2017-06,0.93万公里,北京,27.5,55.0,170,210,长安汽车,微型车,2018-11-28
北汽新能源 EV系列 2014款 E150EV 科技版  ,HC-58299881,?3.10 ,新车指导价25.10万(含税),2015-05,6.67万公里,上海,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
江铃集团新能源 江铃E100 2016款 标准型  ,HC-61143435,?3.50 ,新车指导价16.90万(含税),2017-08,1.41万公里,苏州,15,20.0,110,152,江铃集团新能源,微型车,2018-11-28
江淮iEV 2015款 iEV5  ,HC-59327018,?3.80 ,新车指导价19.50万(含税),2015-12,3.51万公里,北京,23,50.0,215,170,江淮汽车,小型车,2018-11-28
江淮iEV 2015款 iEV5  ,HC-62130292,?4.00 ,新车指导价19.50万(含税),2016-05,14.61万公里,大连,23,50.0,215,170,江淮汽车,小型车,2018-11-28
知豆D2 2016款 D2S   ,HC-45078980,?3.50 ,新车指导价20.50万(含税),2017-06,1.15万公里,杭州,18,15.0,95,155,知豆电动车,微型车,2018-11-28
江铃集团新能源 江淮iEV6E 2017款 iEV6E   ,HC-57615596,?5.00 ,新车指导价13.90万(含税),2017-08,0.79万公里,天津,22,45.0,175,170,江淮汽车,微型车,2018-11-28
知豆D2 2015款 D2    ,HC-58079902,?2.66 ,新车指导价17.20万(含税),2017-11,0.74万公里,深圳,-,9.0,85,180,知豆电动车,微型车,2018-11-28
江淮iEV 2015款 iEV5 ,HC-34445196,?3.70 ,新车指导价19.50万(含税),2014-12,5万公里,合肥,23,50.0,215,170,江淮汽车,小型车,2018-11-28
知豆D2 2017款 D2S    ,HC-52663630,?3.33 ,新车指导价20.50万(含税),2017-10,0.51万公里,深圳,18,15.0,90,155,知豆电动车,微型车,2018-11-28
瑞驰新能源EC35 2017款 纯电动 标准型    ,HC-59329255,?4.20 ,新车指导价9.00万(含税),2017-11,2.16万公里,天津,-,60.0,191,242,瑞驰新能源,微面,2018-11-28
江铃集团新能源 江淮iEV6E 2017款 iEV6E  ,HC-38432692,?4.40 ,新车指导价13.90万(含税),2017-11,0.16万公里,石家庄,22,45.0,175,170,江淮汽车,微型车,2018-11-28
知豆D2 2016款 D2S ,HC-59468926,?4.10 ,新车指导价20.50万(含税),2016-12,0.09万公里,合肥,18,15.0,95,155,知豆电动车,微型车,2018-11-28
江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版   ,HC-59266308,?3.49 ,新车指导价12.90万(含税),2017-10,1.98万公里,济宁,19.66,60.0,200,156,江淮汽车,微型车,2018-11-28
江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版   ,HC-58072472,?4.20 ,新车指导价12.90万(含税),2017-10,0.47万公里,潍坊,19.66,60.0,200,156,江淮汽车,微型车,2018-11-28
北汽新能源 EV系列 2015款 EV200 轻快版 ,HC-49972926,?3.90 ,新车指导价22.70万(含税),2016-01,4.13万公里,北京,30.4,53.0,180,200,北汽新能源,小型车,2018-11-28
北汽新能源 EV系列 2016款 EV160 轻快版   ,HC-56554950,?4.27 ,新车指导价19.30万(含税),2016-08,4.1万公里,上海,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
北汽新能源 EV系列 2015款 EV200 轻快版  ,HC-59342633,?4.50 ,新车指导价22.70万(含税),2016-02,5.39万公里,北京,30.4,53.0,180,200,北汽新能源,小型车,2018-11-28
奇瑞eQ 2017款 豪华型    ,HC-57401789,?3.50 ,新车指导价18.70万(含税),2017-07,1.51万公里,北京,23.6,41.8,150,200,奇瑞新能源,微型车,2018-11-28
北汽新能源 EV系列 2015款 EV200 轻快版  ,HC-59619688,?5.00 ,新车指导价22.70万(含税),2016-03,6.29万公里,北京,30.4,53.0,180,200,北汽新能源,小型车,2018-11-28
江淮iEV 2015款 iEV5   ,HC-58169438,?3.02 ,新车指导价19.50万(含税),2016-07,11.02万公里,桂林,23,50.0,215,170,江淮汽车,小型车,2018-11-28
众泰E200 2016款 三门两座科技版  ,HC-59477807,?4.27 ,新车指导价19.70万(含税),2016-12,2.05万公里,天津,24.5,60.0,165,155,众泰汽车,微型车,2018-11-28
北汽新能源 EV系列 2014款 E150EV 科技版  ,HC-60947238,?3.30 ,新车指导价25.10万(含税),2014-12,6.96万公里,北京,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
长安 奔奔 2017款 纯电动 180公里标准型   ,HC-55212687,?4.00 ,新车指导价16.80万(含税),2017-07,2.71万公里,北京,23.2,55.0,170,180,长安汽车,微型车,2018-11-28
北汽新能源 EV系列 2014款 E150EV 科技版  ,HC-62666589,?4.00 ,新车指导价25.10万(含税),2015-05,3.62万公里,上海,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
北汽新能源 EV系列 2016款 EV160 轻快版    ,HC-43489051,?4.50 ,新车指导价19.30万(含税),2017-08,1.23万公里,北京,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
北汽新能源 EV系列 2015款 EV200 轻快版  ,HC-57734177,?4.24 ,新车指导价22.70万(含税),2015-10,5.44万公里,北京,30.4,53.0,180,200,北汽新能源,小型车,2018-11-28
江铃集团新能源 江铃E100 2016款 标准型   ,HC-62558288,?3.68 ,新车指导价16.90万(含税),2018-06,0.01万公里,保定,15,20.0,110,152,江铃集团新能源,微型车,2018-11-28
北汽新能源 EV系列 2014款 E150EV 科技版  ,HC-59566739,?3.20 ,新车指导价25.10万(含税),2015-05,8.11万公里,上海,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
长安 逸动 2016款 纯电动尊享型  ,HC-58509264,?5.50 ,新车指导价26.40万(含税),2017-03,6.28万公里,北京,30,90.0,280,200,长安汽车,紧凑型车,2018-11-28
北汽新能源 EV系列 2015款 EV160 轻快版  ,HC-59559289,?4.00 ,新车指导价19.20万(含税),2016-04,2.38万公里,北京,25.6,53.0,180,160,北汽新能源,小型车,2018-11-28
北汽新能源EU系列 2016款 EU260 乐享版  ,HC-30321158,?8.49 ,新车指导价27.90万(含税),2016-07,2万公里,北京,41.4,100.0,260,260,北汽新能源,紧凑型车,2018-11-28
北汽新能源 EC系列 2017款 EC200 灵动版   ,HC-50707889,?4.00 ,新车指导价17.20万(含税),2017-12,3.14万公里,漳州,-,36.0,140,162,北汽新能源,微型车,2018-11-28
江铃集团新能源 江淮iEV6E 2017款 iEV6E    ,HC-58488550,?4.00 ,新车指导价13.90万(含税),2017-07,1.9万公里,北京,22,45.0,175,170,江淮汽车,微型车,2018-11-28
众泰E200 2017款 豪华型   ,HC-62447295,?4.80 ,新车指导价19.50万(含税),2017-12,2.14万公里,天津,24.52,60.0,180,160,众泰汽车,微型车,2018-11-28
知豆D2 2016款 D2S   ,HC-58140145,?3.00 ,新车指导价20.50万(含税),2017-12,0.36万公里,深圳,18,15.0,95,155,知豆电动车,微型车,2018-11-28
长城C30新能源 2017款 EV 悦享型   ,HC-57312753,?6.08 ,新车指导价16.30万(含税),2017-12,1.5万公里,潍坊,26.57,90.0,240,200,长城汽车,紧凑型车,2018-11-28
江淮iEV 2014款 iEV4 ,HC-62685148,?3.19 ,新车指导价18.40万(含税),2014-09,3.77万公里,石家庄,19.2,42.0,170,152,江淮汽车,小型车,2018-11-28
北汽新能源 EV系列 2016款 EV160 轻快版   ,HC-57261836,?4.50 ,新车指导价19.30万(含税),2016-09,2.12万公里,北京,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
北汽新能源 EV系列 2015款 EV160 轻快版  ,HC-59687120,?4.27 ,新车指导价19.20万(含税),2015-12,1.69万公里,武汉,25.6,53.0,180,160,北汽新能源,小型车,2018-11-28
华泰新能源 华泰EV160B 2017款 基本型    ,HC-59189204,?3.15 ,新车指导价11.20万(含税),2018-01,1.13万公里,北京,21,30.0,140,155,华泰新能源,微型车,2018-11-28
江淮iEV 2015款 iEV5  ,HC-59596721,?4.00 ,新车指导价19.50万(含税),2015-10,2.96万公里,北京,23,50.0,215,170,江淮汽车,小型车,2018-11-28
北汽新能源 EV系列 2014款 E150EV 科技版 ,HC-62080514,?3.80 ,新车指导价25.10万(含税),2014-12,3.04万公里,大连,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
北汽新能源 EV系列 2014款 E150EV 科技版  ,HC-58538192,?4.05 ,新车指导价25.10万(含税),2015-06,1.65万公里,上海,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
江淮iEV7S 2017款 智尊型    ,HC-59451094,?10.17 ,新车指导价22.50万(含税),2017-10,1.68万公里,眉山,39,85.0,270,280,江淮汽车,小型SUV,2018-11-28
北汽新能源 EV系列 2014款 E150EV 科技版 ,HC-62322572,?4.00 ,新车指导价25.10万(含税),2014-12,1.82万公里,潍坊,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
荣威E50 2015款 标准型 ,HC-62111892,?5.50 ,新车指导价25.50万(含税),2016-09,1.79万公里,北京,18,52.0,155,120,上汽集团,微型车,2018-11-28
北汽新能源 EV系列 2015款 EV200 轻快版  ,HC-54283479,?5.00 ,新车指导价22.70万(含税),2015-11,0.54万公里,北京,30.4,53.0,180,200,北汽新能源,小型车,2018-11-28
江淮iEV 2015款 iEV5  ,HC-59362936,?4.18 ,新车指导价19.50万(含税),2015-08,1.43万公里,北京,23,50.0,215,170,江淮汽车,小型车,2018-11-28
北汽新能源 EV系列 2016款 EV160 轻快版    ,HC-58318165,?5.50 ,新车指导价19.30万(含税),2017-05,0.82万公里,北京,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
北汽新能源 EV系列 2015款 EV200 轻快版   ,HC-57886362,?5.00 ,新车指导价22.70万(含税),2016-01,1.98万公里,北京,30.4,53.0,180,200,北汽新能源,小型车,2018-11-28
北汽新能源 EV系列 2015款 EV160 轻快版  ,HC-59283754,?3.90 ,新车指导价19.20万(含税),2015-08,3.03万公里,北京,25.6,53.0,180,160,北汽新能源,小型车,2018-11-28
