title,car_number,price,new_car_price,licensing_time,miles,license_location,battery_volume,battery_power_data,battery_torque_data,endurance_miles,make,type,RV_ratio,today,months























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",21000.0,172000.0,2016-12-01,24900.000000000004,天津,18.0,15.0,95.0,180.0,知豆电动车,微型车,0.12209302325581395,2018-11-23,23

江铃集团新能源 江铃E200 2016款 标准型    ,"车源号：HC-54745849








































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",37800.0,195000.0,2018-05-01,100.0,深圳,17.3,30.0,130.0,152.0,江铃集团新能源,微型车,0.19384615384615383,2018-11-23,6

奇瑞eQ 2017款 豪华型   ,"车源号：HC-57401789







































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",39000.0,187000.0,2017-07-01,15100.0,北京,23.6,41.8,150.0,200.0,奇瑞新能源,微型车,0.20855614973262032,2018-11-23,16

北汽新能源 EV系列 2015款 EV200 轻秀版 ,"车源号：HC-55880546






































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",45000.0,246000.0,2016-01-01,31600.0,北京,30.4,53.0,180.0,200.0,北汽新能源,小型车,0.18292682926829268,2018-11-23,34

北汽新能源EC系列 2017款 EC180 灵动版  ,"车源号：HC-24224123





































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",36800.0,165000.0,2016-12-01,10500.0,长沙,20.3,30.0,140.0,156.0,北汽新能源,微型车,0.22303030303030302,2018-11-23,23

江淮iEV 2015款 iEV4 豪华型   ,"车源号：HC-51073073




































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",30000.0,166000.0,2015-07-01,84900.0,西安,19.2,42.0,170.0,152.0,江淮汽车,小型车,0.18072289156626506,2018-11-23,40

北汽新能源 EV系列 2015款 EV200 轻快版   ,"车源号：HC-58445627



































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",40000.0,227000.0,2015-10-01,52100.0,武汉,30.4,53.0,180.0,200.0,北汽新能源,小型车,0.1762114537444934,2018-11-23,37

江淮iEV 2014款 iEV4   ,"车源号：HC-55224346


































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",41000.0,184000.0,2015-11-01,24100.0,上海,19.2,42.0,170.0,152.0,江淮汽车,小型车,0.22282608695652173,2018-11-23,36

北汽新能源 EX系列 2016款 EX200 乐酷版  ,"车源号：HC-48902188

































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",69000.0,235000.0,2016-08-01,8600.0,北京,30.4,53.0,180.0,200.0,北汽新能源,小型SUV,0.2936170212765957,2018-11-23,27

江淮iEV 2015款 iEV4 豪华型  ,"车源号：HC-60791547
































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",37000.0,166000.0,2016-09-01,8500.0,徐州,19.2,42.0,170.0,152.0,江淮汽车,小型车,0.22289156626506024,2018-11-23,26

东风小康EC36 2017款 基本型   ,"车源号：HC-59595934































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",63000.0,138000.0,2018-08-01,7100.0,广州,38.2,60.0,191.0,200.0,东风小康,微面,0.45652173913043476,2018-11-23,3

江淮iEV 2015款 iEV4 豪华智能型  ,"车源号：HC-39535665






































































































































































































