title,car_number,price,new_car_price,licensing_time,miles,license_location,battery_volume,battery_power_data,battery_torque_data,endurance_miles,make,type



























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",?4.50 ,新车指导价19.50万(含税),2016-01,2.7万公里,北京,23,50.0,215,170,江淮汽车,小型车

华泰新能源 华泰EV160B 2017款 基本型   ,"车源号：HC-59189204







































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",?3.50 ,新车指导价11.20万(含税),2018-01,1.13万公里,北京,21,30.0,140,155,华泰新能源,微型车

比亚迪 2016款 秦EV300 旗舰型   ,"车源号：HC-61432614






































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",?13.80 ,新车指导价33.60万(含税),2017-12,1.44万公里,深圳,47.50,160.0,310,300,比亚迪,紧凑型车

长安 奔奔 2017款 纯电动 210公里标准型   ,"车源号：HC-58946818





































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",?4.10 ,新车指导价17.50万(含税),2017-07,3.67万公里,北京,27.5,55.0,170,210,长安汽车,微型车

知豆D2 2017款 D2S   ,"车源号：HC-58982680




































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",?3.60 ,新车指导价20.50万(含税),2017-03,0.81万公里,牡丹江,18,15.0,90,155,知豆电动车,微型车

长安 奔奔 2017款 纯电动 180公里豪华型   ,"车源号：HC-59448467



































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",?4.50 ,新车指导价18.10万(含税),2017-08,2.32万公里,北京,23.2,55.0,170,180,长安汽车,微型车

北汽新能源 EV系列 2015款 EV200 轻快版  ,"车源号：HC-54283479


































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",?5.00 ,新车指导价22.70万(含税),2015-11,0.54万公里,北京,30.4,53.0,180,200,北汽新能源,小型车

江淮iEV 2015款 iEV5  ,"车源号：HC-59596721

































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",?4.00 ,新车指导价19.50万(含税),2015-10,2.96万公里,北京,23,50.0,215,170,江淮汽车,小型车

北汽新能源 EV系列 2015款 EV160 轻快版  ,"车源号：HC-59283754
































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",?4.00 ,新车指导价19.20万(含税),2015-08,3.03万公里,北京,25.6,53.0,180,160,北汽新能源,小型车

北汽新能源 EC系列 2017款 EC200 灵动版    ,"车源号：HC-58961800































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",?5.30 ,新车指导价17.20万(含税),2017-12,0.71万公里,石家庄,-,36.0,140,162,北汽新能源,微型车

北汽新能源 EV系列 2014款 E150EV 科技版  ,"车源号：HC-58299881































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































